Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Erewash	921.5	1645.325	909	1623.674	884	1623.674	871.5	1645.325	884	1666.976	909	1666.976
Erith & Thamesmead	996.5	1082.399	984	1060.748	959	1060.748	946.5	1082.399	959	1104.05	984	1104.05
Esher & Walton	1221.5	1558.721	1209	1537.07	1184	1537.07	1171.5	1558.721	1184	1580.372	1209	1580.372
Exeter	846.5	1602.023	834	1580.372	809	1580.372	796.5	1602.023	809	1623.674	834	1623.674
Falkirk	434	1796.882	421.5	1775.231	396.5	1775.231	384	1796.882	396.5	1818.533	421.5	1818.533
Fareham	659	281.312	646.5	259.661	621.5	259.661	609	281.312	621.5	302.963	646.5	302.963
Faversham & Kent Mid	846.5	1775.231	834	1753.58	809	1753.58	796.5	1775.231	809	1796.882	834	1796.882
Feltham & Heston	1334	1623.674	1321.5	1602.023	1296.5	1602.023	1284	1623.674	1296.5	1645.325	1321.5	1645.325
Fermanagh & South Tyrone	884	1537.07	871.5	1515.419	846.5	1515.419	834	1537.07	846.5	1558.721	871.5	1558.721
Fife North East	59	714.332	46.5	692.681	21.5	692.681	9	714.332	21.5	735.983	46.5	735.983
Filton & Bradley Stoke	771.5	259.661	759	238.01	734	238.01	721.5	259.661	734	281.312	759	281.312
Finchley & Golders Green	584	1537.07	571.5	1515.419	546.5	1515.419	534	1537.07	546.5	1558.721	571.5	1558.721
Folkestone & Hythe	1034	1363.862	1021.5	1342.211	996.5	1342.211	984	1363.862	996.5	1385.513	1021.5	1385.513
Forest of Dean	1334	1666.976	1321.5	1645.325	1296.5	1645.325	1284	1666.976	1296.5	1688.627	1321.5	1688.627
Foyle	621.5	1472.117	609	1450.466	584	1450.466	571.5	1472.117	584	1493.768	609	1493.768
Fylde	96.5	649.379	84	627.728	59	627.728	46.5	649.379	59	671.03	84	671.03
Gainsborough	621.5	735.983	609	714.332	584	714.332	571.5	735.983	584	757.634	609	757.634
Garston & Halewood	1146.5	1039.097	1134	1017.446	1109	1017.446	1096.5	1039.097	1109	1060.748	1134	1060.748
Gateshead	621.5	952.493	609	930.842	584	930.842	571.5	952.493	584	974.144	609	974.144
Gedling	884	541.124	871.5	519.473	846.5	519.473	834	541.124	846.5	562.775	871.5	562.775
Gillingham & Rainham	1109	1060.748	1096.5	1039.097	1071.5	1039.097	1059	1060.748	1071.5	1082.399	1096.5	1082.399
Glasgow Central	1371.5	1602.023	1359	1580.372	1334	1580.372	1321.5	1602.023	1334	1623.674	1359	1623.674
Glasgow East	584	367.916	571.5	346.265	546.5	346.265	534	367.916	546.5	389.567	571.5	389.567
Glasgow North	621.5	346.265	609	324.614	584	324.614	571.5	346.265	584	367.916	609	367.916
Glasgow North East	584	324.614	571.5	302.963	546.5	302.963	534	324.614	546.5	346.265	571.5	346.265
Glasgow North West	621.5	302.963	609	281.312	584	281.312	571.5	302.963	584	324.614	609	324.614
Glasgow South	546.5	302.963	534	281.312	509	281.312	496.5	302.963	509	324.614	534	324.614
Glasgow South West	621.5	432.869	609	411.218	584	411.218	571.5	432.869	584	454.52	609	454.52
Glenrothes	546.5	346.265	534	324.614	509	324.614	496.5	346.265	509	367.916	534	367.916
Gloucester	734	281.312	721.5	259.661	696.5	259.661	684	281.312	696.5	302.963	721.5	302.963
Gordon	659	1493.768	646.5	1472.117	621.5	1472.117	609	1493.768	621.5	1515.419	646.5	1515.419
Gosport	659	151.406	646.5	129.755	621.5	129.755	609	151.406	621.5	173.057	646.5	173.057
Gower	884	1753.58	871.5	1731.929	846.5	1731.929	834	1753.58	846.5	1775.231	871.5	1775.231
Grantham & Stamford	396.5	1472.117	384	1450.466	359	1450.466	346.5	1472.117	359	1493.768	384	1493.768
Gravesham	1109	1190.654	1096.5	1169.003	1071.5	1169.003	1059	1190.654	1071.5	1212.305	1096.5	1212.305
Great Grimsby	1296.5	1558.721	1284	1537.07	1259	1537.07	1246.5	1558.721	1259	1580.372	1284	1580.372
Great Yarmouth	1296.5	1255.607	1284	1233.956	1259	1233.956	1246.5	1255.607	1259	1277.258	1284	1277.258
Greenwich & Woolwich	1184	1493.768	1171.5	1472.117	1146.5	1472.117	1134	1493.768	1146.5	1515.419	1171.5	1515.419
Guildford	1146.5	952.493	1134	930.842	1109	930.842	1096.5	952.493	1109	974.144	1134	974.144
Hackney North & Stoke Newington	884	1666.976	871.5	1645.325	846.5	1645.325	834	1666.976	846.5	1688.627	871.5	1688.627
Hackney South & Shoreditch	1071.5	1428.815	1059	1407.164	1034	1407.164	1021.5	1428.815	1034	1450.466	1059	1450.466
Halesowen & Rowley Regis	1109	1450.466	1096.5	1428.815	1071.5	1428.815	1059	1450.466	1071.5	1472.117	1096.5	1472.117
Halifax	696.5	1255.607	684	1233.956	659	1233.956	646.5	1255.607	659	1277.258	684	1277.258
Haltemprice & Howden	884	844.238	871.5	822.587	846.5	822.587	834	844.238	846.5	865.889	871.5	865.889
Halton	1109	800.936	1096.5	779.285	1071.5	779.285	1059	800.936	1071.5	822.587	1096.5	822.587
Hammersmith	659	930.842	646.5	909.191	621.5	909.191	609	930.842	621.5	952.493	646.5	952.493
Hampshire East	959	1537.07	946.5	1515.419	921.5	1515.419	909	1537.07	921.5	1558.721	946.5	1558.721
Hampshire North East	921.5	1688.627	909	1666.976	884	1666.976	871.5	1688.627	884	1710.278	909	1710.278
Hampshire North West	771.5	1645.325	759	1623.674	734	1623.674	721.5	1645.325	734	1666.976	759	1666.976
Hampstead & Kilburn	696.5	1645.325	684	1623.674	659	1623.674	646.5	1645.325	659	1666.976	684	1666.976
Harborough	959	1450.466	946.5	1428.815	921.5	1428.815	909	1450.466	921.5	1472.117	946.5	1472.117
Harlow	959	1190.654	946.5	1169.003	921.5	1169.003	909	1190.654	921.5	1212.305	946.5	1212.305
Harrogate & Knaresborough	1109	1320.56	1096.5	1298.909	1071.5	1298.909	1059	1320.56	1071.5	1342.211	1096.5	1342.211
Harrow East	1034	671.03	1021.5	649.379	996.5	649.379	984	671.03	996.5	692.681	1021.5	692.681
Harrow West	959	1363.862	946.5	1342.211	921.5	1342.211	909	1363.862	921.5	1385.513	946.5	1385.513
Hartlepool	921.5	1385.513	909	1363.862	884	1363.862	871.5	1385.513	884	1407.164	909	1407.164
Harwich & Essex North	996.5	562.775	984	541.124	959	541.124	946.5	562.775	959	584.426	984	584.426
Hastings & Rye	1296.5	1342.211	1284	1320.56	1259	1320.56	1246.5	1342.211	1259	1363.862	1284	1363.862
Havant	1296.5	1688.627	1284	1666.976	1259	1666.976	1246.5	1688.627	1259	1710.278	1284	1710.278
Hayes & Harlington	959	1710.278	946.5	1688.627	921.5	1688.627	909	1710.278	921.5	1731.929	946.5	1731.929
Hazel Grove	846.5	1515.419	834	1493.768	809	1493.768	796.5	1515.419	809	1537.07	834	1537.07
Hemel Hempstead	846.5	952.493	834	930.842	809	930.842	796.5	952.493	809	974.144	834	974.144
Hemsworth	1071.5	1255.607	1059	1233.956	1034	1233.956	1021.5	1255.607	1034	1277.258	1059	1277.258
Hendon	1071.5	779.285	1059	757.634	1034	757.634	1021.5	779.285	1034	800.936	1059	800.936
Henley	996.5	1342.211	984	1320.56	959	1320.56	946.5	1342.211	959	1363.862	984	1363.862
Hereford & Herefordshire South	771.5	1385.513	759	1363.862	734	1363.862	721.5	1385.513	734	1407.164	759	1407.164
Herefordshire North	659	1407.164	646.5	1385.513	621.5	1385.513	609	1407.164	621.5	1428.815	646.5	1428.815
Hertford & Stortford	621.5	1298.909	609	1277.258	584	1277.258	571.5	1298.909	584	1320.56	609	1320.56
Hertfordshire North East	1109	1277.258	1096.5	1255.607	1071.5	1255.607	1059	1277.258	1071.5	1298.909	1096.5	1298.909
Hertfordshire South West	1109	1233.956	1096.5	1212.305	1071.5	1212.305	1059	1233.956	1071.5	1255.607	1096.5	1255.607
Hertsmere	884	1363.862	871.5	1342.211	846.5	1342.211	834	1363.862	846.5	1385.513	871.5	1385.513
Hexham	959	1320.56	946.5	1298.909	921.5	1298.909	909	1320.56	921.5	1342.211	946.5	1342.211
Heywood & Middleton	771.5	519.473	759	497.822	734	497.822	721.5	519.473	734	541.124	759	541.124
High Peak	809	714.332	796.5	692.681	771.5	692.681	759	714.332	771.5	735.983	796.5	735.983
Hitchin & Harpenden	884	974.144	871.5	952.493	846.5	952.493	834	974.144	846.5	995.795	871.5	995.795
Holborn & St Pancras	959	1277.258	946.5	1255.607	921.5	1255.607	909	1277.258	921.5	1298.909	946.5	1298.909
Hornchurch & Upminster	1034	1450.466	1021.5	1428.815	996.5	1428.815	984	1450.466	996.5	1472.117	1021.5	1472.117
Hornsey & Wood Green	1296.5	1515.419	1284	1493.768	1259	1493.768	1246.5	1515.419	1259	1537.07	1284	1537.07
Horsham	996.5	1428.815	984	1407.164	959	1407.164	946.5	1428.815	959	1450.466	984	1450.466
Houghton & Sunderland South	1109	1666.976	1096.5	1645.325	1071.5	1645.325	1059	1666.976	1071.5	1688.627	1096.5	1688.627
Hove	921.5	562.775	909	541.124	884	541.124	871.5	562.775	884	584.426	909	584.426
Huddersfield	1146.5	1731.929	1134	1710.278	1109	1710.278	1096.5	1731.929	1109	1753.58	1134	1753.58
Hull East	921.5	865.889	909	844.238	884	844.238	871.5	865.889	884	887.54	909	887.54
Hull North	1109	887.54	1096.5	865.889	1071.5	865.889	1059	887.54	1071.5	909.191	1096.5	909.191
Hull West & Hessle	1109	844.238	1096.5	822.587	1071.5	822.587	1059	844.238	1071.5	865.889	1096.5	865.889
Huntingdon	1109	930.842	1096.5	909.191	1071.5	909.191	1059	930.842	1071.5	952.493	1096.5	952.493
Hyndburn	959	1233.956	946.5	1212.305	921.5	1212.305	909	1233.956	921.5	1255.607	946.5	1255.607
Ilford North	809	671.03	796.5	649.379	771.5	649.379	759	671.03	771.5	692.681	796.5	692.681
Ilford South	1221.5	1428.815	1209	1407.164	1184	1407.164	1171.5	1428.815	1184	1450.466	1209	1450.466
Inverclyde	1259	1450.466	1246.5	1428.815	1221.5	1428.815	1209	1450.466	1221.5	1472.117	1246.5	1472.117
Inverness, Nairn, Badenoch & Strathspey	509	324.614	496.5	302.963	471.5	302.963	459	324.614	471.5	346.265	496.5	346.265
Ipswich	621.5	173.057	609	151.406	584	151.406	571.5	173.057	584	194.708	609	194.708
Isle of Wight	1296.5	1298.909	1284	1277.258	1259	1277.258	1246.5	1298.909	1259	1320.56	1284	1320.56
Islington North	771.5	1818.533	759	1796.882	734	1796.882	721.5	1818.533	734	1840.184	759	1840.184
Islington South & Finsbury	1034	1407.164	1021.5	1385.513	996.5	1385.513	984	1407.164	996.5	1428.815	1021.5	1428.815
Islwyn	1071.5	1472.117	1059	1450.466	1034	1450.466	1021.5	1472.117	1034	1493.768	1059	1493.768
Jarrow	584	1363.862	571.5	1342.211	546.5	1342.211	534	1363.862	546.5	1385.513	571.5	1385.513
Keighley	884	497.822	871.5	476.171	846.5	476.171	834	497.822	846.5	519.473	871.5	519.473
Kenilworth & Southam	884	714.332	871.5	692.681	846.5	692.681	834	714.332	846.5	735.983	871.5	735.983
Kensington	771.5	1298.909	759	1277.258	734	1277.258	721.5	1298.909	734	1320.56	759	1320.56
Kettering	959	1493.768	946.5	1472.117	921.5	1472.117	909	1493.768	921.5	1515.419	946.5	1515.419
Kilmarnock & Loudoun	996.5	1169.003	984	1147.352	959	1147.352	946.5	1169.003	959	1190.654	984	1190.654
Kingston & Surbiton	621.5	476.171	609	454.52	584	454.52	571.5	476.171	584	497.822	609	497.822
Kingswood	884	1623.674	871.5	1602.023	846.5	1602.023	834	1623.674	846.5	1645.325	871.5	1645.325
Kirkcaldy & Cowdenbeath	621.5	1558.721	609	1537.07	584	1537.07	571.5	1558.721	584	1580.372	609	1580.372
Knowsley	696.5	302.963	684	281.312	659	281.312	646.5	302.963	659	324.614	684	324.614
Lagan Valley	621.5	865.889	609	844.238	584	844.238	571.5	865.889	584	887.54	609	887.54
Lanark & Hamilton East	171.5	779.285	159	757.634	134	757.634	121.5	779.285	134	800.936	159	800.936
Lancashire West	659	454.52	646.5	432.869	621.5	432.869	609	454.52	621.5	476.171	646.5	476.171
Lancaster & Fleetwood	621.5	779.285	609	757.634	584	757.634	571.5	779.285	584	800.936	609	800.936
Leeds Central	809	627.728	796.5	606.077	771.5	606.077	759	627.728	771.5	649.379	796.5	649.379
Leeds East	921.5	779.285	909	757.634	884	757.634	871.5	779.285	884	800.936	909	800.936
Leeds North East	1034	800.936	1021.5	779.285	996.5	779.285	984	800.936	996.5	822.587	1021.5	822.587
Leeds North West	996.5	779.285	984	757.634	959	757.634	946.5	779.285	959	800.936	984	800.936
Leeds West	959	757.634	946.5	735.983	921.5	735.983	909	757.634	921.5	779.285	946.5	779.285
Leicester East	959	714.332	946.5	692.681	921.5	692.681	909	714.332	921.5	735.983	946.5	735.983
Leicester South	959	1147.352	946.5	1125.701	921.5	1125.701	909	1147.352	921.5	1169.003	946.5	1169.003
Leicester West	921.5	1212.305	909	1190.654	884	1190.654	871.5	1212.305	884	1233.956	909	1233.956
Leicestershire North West	921.5	1169.003	909	1147.352	884	1147.352	871.5	1169.003	884	1190.654	909	1190.654
Leicestershire South	921.5	1125.701	909	1104.05	884	1104.05	871.5	1125.701	884	1147.352	909	1147.352
Leigh	884	1190.654	871.5	1169.003	846.5	1169.003	834	1190.654	846.5	1212.305	871.5	1212.305
Lewes	659	844.238	646.5	822.587	621.5	822.587	609	844.238	621.5	865.889	646.5	865.889
Lewisham Deptford	1221.5	1688.627	1209	1666.976	1184	1666.976	1171.5	1688.627	1184	1710.278	1209	1710.278
Lewisham East	1146.5	1515.419	1134	1493.768	1109	1493.768	1096.5	1515.419	1109	1537.07	1134	1537.07
Lewisham West & Penge	1109	1580.372	1096.5	1558.721	1071.5	1558.721	1059	1580.372	1071.5	1602.023	1096.5	1602.023
Leyton & Wanstead	1071.5	1602.023	1059	1580.372	1034	1580.372	1021.5	1602.023	1034	1623.674	1059	1623.674
Lichfield	1146.5	1428.815	1134	1407.164	1109	1407.164	1096.5	1428.815	1109	1450.466	1134	1450.466
Lincoln	809	1017.446	796.5	995.795	771.5	995.795	759	1017.446	771.5	1039.097	796.5	1039.097
Linlithgow & Falkirk East	1109	1104.05	1096.5	1082.399	1071.5	1082.399	1059	1104.05	1071.5	1125.701	1096.5	1125.701
Liverpool Riverside	659	324.614	646.5	302.963	621.5	302.963	609	324.614	621.5	346.265	646.5	346.265
Liverpool Walton	584	974.144	571.5	952.493	546.5	952.493	534	974.144	546.5	995.795	571.5	995.795
Liverpool Wavertree	584	844.238	571.5	822.587	546.5	822.587	534	844.238	546.5	865.889	571.5	865.889
Liverpool West Derby	584	930.842	571.5	909.191	546.5	909.191	534	930.842	546.5	952.493	571.5	952.493
Livingston	584	887.54	571.5	865.889	546.5	865.889	534	887.54	546.5	909.191	571.5	909.191
Llanelli	696.5	476.171	684	454.52	659	454.52	646.5	476.171	659	497.822	684	497.822
Londonderry East	396.5	1428.815	384	1407.164	359	1407.164	346.5	1428.815	359	1450.466	384	1450.466
Loughborough	134	627.728	121.5	606.077	96.5	606.077	84	627.728	96.5	649.379	121.5	649.379
Louth & Horncastle	959	1104.05	946.5	1082.399	921.5	1082.399	909	1104.05	921.5	1125.701	946.5	1125.701
Ludlow	1146.5	1082.399	1134	1060.748	1109	1060.748	1096.5	1082.399	1109	1104.05	1134	1104.05
Luton North	621.5	1212.305	609	1190.654	584	1190.654	571.5	1212.305	584	1233.956	609	1233.956
Luton South	884	1320.56	871.5	1298.909	846.5	1298.909	834	1320.56	846.5	1342.211	871.5	1342.211
Macclesfield	921.5	1298.909	909	1277.258	884	1277.258	871.5	1298.909	884	1320.56	909	1320.56
Maidenhead	809	930.842	796.5	909.191	771.5	909.191	759	930.842	771.5	952.493	796.5	952.493
Maidstone & The Weald	771.5	1558.721	759	1537.07	734	1537.07	721.5	1558.721	734	1580.372	759	1580.372
Makerfield	1296.5	1602.023	1284	1580.372	1259	1580.372	1246.5	1602.023	1259	1623.674	1284	1623.674
Maldon	659	800.936	646.5	779.285	621.5	779.285	609	800.936	621.5	822.587	646.5	822.587
Manchester Central	1371.5	1385.513	1359	1363.862	1334	1363.862	1321.5	1385.513	1334	1407.164	1359	1407.164
Manchester Gorton	771.5	822.587	759	800.936	734	800.936	721.5	822.587	734	844.238	759	844.238
Manchester Withington	696.5	822.587	684	800.936	659	800.936	646.5	822.587	659	844.238	684	844.238
Mansfield	771.5	865.889	759	844.238	734	844.238	721.5	865.889	734	887.54	759	887.54
Meon Valley	1034	974.144	1021.5	952.493	996.5	952.493	984	974.144	996.5	995.795	1021.5	995.795
Meriden	846.5	1731.929	834	1710.278	809	1710.278	796.5	1731.929	809	1753.58	834	1753.58
Merthyr Tydfil & Rhymney	809	1147.352	796.5	1125.701	771.5	1125.701	759	1147.352	771.5	1169.003	796.5	1169.003
Middlesbrough	546.5	1342.211	534	1320.56	509	1320.56	496.5	1342.211	509	1363.862	534	1363.862
Middlesbrough South & Cleveland East	996.5	606.077	984	584.426	959	584.426	946.5	606.077	959	627.728	984	627.728
Midlothian	1034	627.728	1021.5	606.077	996.5	606.077	984	627.728	996.5	649.379	1021.5	649.379
Milton Keynes North	734	497.822	721.5	476.171	696.5	476.171	684	497.822	696.5	519.473	721.5	519.473
Milton Keynes South	809	1363.862	796.5	1342.211	771.5	1342.211	759	1363.862	771.5	1385.513	796.5	1385.513
Mitcham & Morden	809	1407.164	796.5	1385.513	771.5	1385.513	759	1407.164	771.5	1428.815	796.5	1428.815
Mole Valley	959	1623.674	946.5	1602.023	921.5	1602.023	909	1623.674	921.5	1645.325	946.5	1645.325
Monmouth	846.5	1645.325	834	1623.674	809	1623.674	796.5	1645.325	809	1666.976	834	1666.976
Montgomeryshire	621.5	1385.513	609	1363.862	584	1363.862	571.5	1385.513	584	1407.164	609	1407.164
Moray	584	1190.654	571.5	1169.003	546.5	1169.003	534	1190.654	546.5	1212.305	571.5	1212.305
Morecambe & Lunesdale	659	194.708	646.5	173.057	621.5	173.057	609	194.708	621.5	216.359	646.5	216.359
Morley & Outwood	734	627.728	721.5	606.077	696.5	606.077	684	627.728	696.5	649.379	721.5	649.379
Motherwell & Wishaw	996.5	822.587	984	800.936	959	800.936	946.5	822.587	959	844.238	984	844.238
Na h-Eileanan an Iar (Western Isles)	659	411.218	646.5	389.567	621.5	389.567	609	411.218	621.5	432.869	646.5	432.869
Neath	509	151.406	496.5	129.755	471.5	129.755	459	151.406	471.5	173.057	496.5	173.057
New Forest East	471.5	1385.513	459	1363.862	434	1363.862	421.5	1385.513	434	1407.164	459	1407.164
New Forest West	696.5	1731.929	684	1710.278	659	1710.278	646.5	1731.929	659	1753.58	684	1753.58
Newark	696.5	1775.231	684	1753.58	659	1753.58	646.5	1775.231	659	1796.882	684	1796.882
Newbury	1109	1017.446	1096.5	995.795	1071.5	995.795	1059	1017.446	1071.5	1039.097	1096.5	1039.097
Newcastle-under-Lyme	696.5	1602.023	684	1580.372	659	1580.372	646.5	1602.023	659	1623.674	684	1623.674
Newcastle upon Tyne Central	809	541.124	796.5	519.473	771.5	519.473	759	541.124	771.5	562.775	796.5	562.775
Newcastle upon Tyne East	846.5	562.775	834	541.124	809	541.124	796.5	562.775	809	584.426	834	584.426
Newcastle upon Tyne North	809	497.822	796.5	476.171	771.5	476.171	759	497.822	771.5	519.473	796.5	519.473
Newport East	621.5	1039.097	609	1017.446	584	1017.446	571.5	1039.097	584	1060.748	609	1060.748
Newport West	621.5	1428.815	609	1407.164	584	1407.164	571.5	1428.815	584	1450.466	609	1450.466
Newry & Armagh	584	1493.768	571.5	1472.117	546.5	1472.117	534	1493.768	546.5	1515.419	571.5	1515.419
Newton Abbot	96.5	779.285	84	757.634	59	757.634	46.5	779.285	59	800.936	84	800.936
Norfolk Mid	471.5	1818.533	459	1796.882	434	1796.882	421.5	1818.533	434	1840.184	459	1840.184
Norfolk North	1034	1190.654	1021.5	1169.003	996.5	1169.003	984	1190.654	996.5	1212.305	1021.5	1212.305
Norfolk North West	1259	1233.956	1246.5	1212.305	1221.5	1212.305	1209	1233.956	1221.5	1255.607	1246.5	1255.607
Norfolk South	1184	1190.654	1171.5	1169.003	1146.5	1169.003	1134	1190.654	1146.5	1212.305	1171.5	1212.305
Norfolk South West	1259	1277.258	1246.5	1255.607	1221.5	1255.607	1209	1277.258	1221.5	1298.909	1246.5	1298.909
Normanton, Pontefract & Castleford	1146.5	1255.607	1134	1233.956	1109	1233.956	1096.5	1255.607	1109	1277.258	1134	1277.258
Northampton North	996.5	735.983	984	714.332	959	714.332	946.5	735.983	959	757.634	984	757.634
Northampton South	846.5	1255.607	834	1233.956	809	1233.956	796.5	1255.607	809	1277.258	834	1277.258
Northamptonshire South 	846.5	1298.909	834	1277.258	809	1277.258	796.5	1298.909	809	1320.56	834	1320.56
Norwich North	809	1320.56	796.5	1298.909	771.5	1298.909	759	1320.56	771.5	1342.211	796.5	1342.211
Norwich South	1184	1233.956	1171.5	1212.305	1146.5	1212.305	1134	1233.956	1146.5	1255.607	1171.5	1255.607
Nottingham East	1221.5	1255.607	1209	1233.956	1184	1233.956	1171.5	1255.607	1184	1277.258	1209	1277.258
Nottingham North	1071.5	1082.399	1059	1060.748	1034	1060.748	1021.5	1082.399	1034	1104.05	1059	1104.05
Nottingham South	1071.5	1039.097	1059	1017.446	1034	1017.446	1021.5	1039.097	1034	1060.748	1059	1060.748
Nuneaton	1034	1104.05	1021.5	1082.399	996.5	1082.399	984	1104.05	996.5	1125.701	1021.5	1125.701
Ochil & South Perthshire	846.5	1082.399	834	1060.748	809	1060.748	796.5	1082.399	809	1104.05	834	1104.05
Ogmore	659	238.01	646.5	216.359	621.5	216.359	609	238.01	621.5	259.661	646.5	259.661
Old Bexley & Sidcup	471.5	1472.117	459	1450.466	434	1450.466	421.5	1472.117	434	1493.768	459	1493.768
Oldham East & Saddleworth	1221.5	1515.419	1209	1493.768	1184	1493.768	1171.5	1515.419	1184	1537.07	1209	1537.07
Oldham West & Royton	846.5	865.889	834	844.238	809	844.238	796.5	865.889	809	887.54	834	887.54
Orkney & Shetland	809	757.634	796.5	735.983	771.5	735.983	759	757.634	771.5	779.285	796.5	779.285
Orpington	696.5	43.151	684	21.5	659	21.5	646.5	43.151	659	64.802	684	64.802
Oxford East	1146.5	1602.023	1134	1580.372	1109	1580.372	1096.5	1602.023	1109	1623.674	1134	1623.674
Oxford West & Abingdon	771.5	1515.419	759	1493.768	734	1493.768	721.5	1515.419	734	1537.07	759	1537.07
Paisley & Renfrewshire North	734	1537.07	721.5	1515.419	696.5	1515.419	684	1537.07	696.5	1558.721	721.5	1558.721
Paisley & Renfrewshire South	546.5	259.661	534	238.01	509	238.01	496.5	259.661	509	281.312	534	281.312
Pendle	546.5	389.567	534	367.916	509	367.916	496.5	389.567	509	411.218	534	411.218
Penistone & Stocksbridge	846.5	692.681	834	671.03	809	671.03	796.5	692.681	809	714.332	834	714.332
Penrith & The Border	921.5	952.493	909	930.842	884	930.842	871.5	952.493	884	974.144	909	974.144
Perth & North Perthshire	734	541.124	721.5	519.473	696.5	519.473	684	541.124	696.5	562.775	721.5	562.775
Peterborough	621.5	216.359	609	194.708	584	194.708	571.5	216.359	584	238.01	609	238.01
Plymouth Moor View	1071.5	1212.305	1059	1190.654	1034	1190.654	1021.5	1212.305	1034	1233.956	1059	1233.956
Plymouth Sutton & Devonport	396.5	1818.533	384	1796.882	359	1796.882	346.5	1818.533	359	1840.184	384	1840.184
Pontypridd	359	1840.184	346.5	1818.533	321.5	1818.533	309	1840.184	321.5	1861.835	346.5	1861.835
Poole	509	1407.164	496.5	1385.513	471.5	1385.513	459	1407.164	471.5	1428.815	496.5	1428.815
Poplar & Limehouse	584	1753.58	571.5	1731.929	546.5	1731.929	534	1753.58	546.5	1775.231	571.5	1775.231
Portsmouth North	1109	1493.768	1096.5	1472.117	1071.5	1472.117	1059	1493.768	1071.5	1515.419	1096.5	1515.419
Portsmouth South	884	1710.278	871.5	1688.627	846.5	1688.627	834	1710.278	846.5	1731.929	871.5	1731.929
Preseli Pembrokeshire	921.5	1731.929	909	1710.278	884	1710.278	871.5	1731.929	884	1753.58	909	1753.58
Preston	359	1407.164	346.5	1385.513	321.5	1385.513	309	1407.164	321.5	1428.815	346.5	1428.815
Pudsey	696.5	692.681	684	671.03	659	671.03	646.5	692.681	659	714.332	684	714.332
Putney	921.5	692.681	909	671.03	884	671.03	871.5	692.681	884	714.332	909	714.332
Rayleigh & Wickford	921.5	1558.721	909	1537.07	884	1537.07	871.5	1558.721	884	1580.372	909	1580.372
Reading East	1296.5	1385.513	1284	1363.862	1259	1363.862	1246.5	1385.513	1259	1407.164	1284	1407.164
Reading West	734	1580.372	721.5	1558.721	696.5	1558.721	684	1580.372	696.5	1602.023	721.5	1602.023
Redcar	734	1623.674	721.5	1602.023	696.5	1602.023	684	1623.674	696.5	1645.325	721.5	1645.325
Redditch	1034	584.426	1021.5	562.775	996.5	562.775	984	584.426	996.5	606.077	1021.5	606.077
Reigate	696.5	1342.211	684	1320.56	659	1320.56	646.5	1342.211	659	1363.862	684	1363.862
Renfrewshire East	959	1666.976	946.5	1645.325	921.5	1645.325	909	1666.976	921.5	1688.627	946.5	1688.627
Rhondda	584	411.218	571.5	389.567	546.5	389.567	534	411.218	546.5	432.869	571.5	432.869
South Ribble	509	1363.862	496.5	1342.211	471.5	1342.211	459	1363.862	471.5	1385.513	496.5	1385.513
Ribble Valley	584	800.936	571.5	779.285	546.5	779.285	534	800.936	546.5	822.587	571.5	822.587
Richmond (Yorks)	846.5	649.379	834	627.728	809	627.728	796.5	649.379	809	671.03	834	671.03
Richmond Park	921.5	649.379	909	627.728	884	627.728	871.5	649.379	884	671.03	909	671.03
Rochdale	921.5	1515.419	909	1493.768	884	1493.768	871.5	1515.419	884	1537.07	909	1537.07
Rochester & Strood	846.5	822.587	834	800.936	809	800.936	796.5	822.587	809	844.238	834	844.238
Rochford & Southend East	1334	1537.07	1321.5	1515.419	1296.5	1515.419	1284	1537.07	1296.5	1558.721	1321.5	1558.721
Romford	1371.5	1428.815	1359	1407.164	1334	1407.164	1321.5	1428.815	1334	1450.466	1359	1450.466
Romsey & Southampton North	1296.5	1472.117	1284	1450.466	1259	1450.466	1246.5	1472.117	1259	1493.768	1284	1493.768
Ross, Skye & Lochaber	696.5	1688.627	684	1666.976	659	1666.976	646.5	1688.627	659	1710.278	684	1710.278
Rossendale & Darwen	584	151.406	571.5	129.755	546.5	129.755	534	151.406	546.5	173.057	571.5	173.057
Rotherham	846.5	779.285	834	757.634	809	757.634	796.5	779.285	809	800.936	834	800.936
Rother Valley	1071.5	952.493	1059	930.842	1034	930.842	1021.5	952.493	1034	974.144	1059	974.144
Rugby	996.5	865.889	984	844.238	959	844.238	946.5	865.889	959	887.54	984	887.54
Ruislip, Northwood & Pinner	809	1233.956	796.5	1212.305	771.5	1212.305	759	1233.956	771.5	1255.607	796.5	1255.607
Runnymede & Weybridge	884	1407.164	871.5	1385.513	846.5	1385.513	834	1407.164	846.5	1428.815	871.5	1428.815
Rushcliffe	809	1537.07	796.5	1515.419	771.5	1515.419	759	1537.07	771.5	1558.721	796.5	1558.721
Rutherglen & Hamilton West	1071.5	1125.701	1059	1104.05	1034	1104.05	1021.5	1125.701	1034	1147.352	1059	1147.352
Rutland & Melton	659	497.822	646.5	476.171	621.5	476.171	609	497.822	621.5	519.473	646.5	519.473
Saffron Walden	1071.5	1169.003	1059	1147.352	1034	1147.352	1021.5	1169.003	1034	1190.654	1059	1190.654
Salford & Eccles	1221.5	1385.513	1209	1363.862	1184	1363.862	1171.5	1385.513	1184	1407.164	1209	1407.164
